"wine_id","grape_id","grapes"
97272,2,"Cabernet Sauvignon"
97275,2,"Cabernet Sauvignon"
97829,2,"Cabernet Sauvignon"
97836,2,"Cabernet Sauvignon"
97906,1,"Shiraz/Syrah"
97966,20,"Viognier"
98166,2,"Cabernet Sauvignon"
98195,2,"Cabernet Sauvignon"
98618,10,"Merlot"
100372,12,"Nebbiolo"
100492,6,"Chenin Blanc"
736114,2,"Cabernet Sauvignon"
768733,2,"Cabernet Sauvignon"
768734,2,"Cabernet Sauvignon"
778823,2,"Cabernet Sauvignon"
778938,3,"Cabernet Franc"
779035,9,"Malbec"
779338,2,"Cabernet Sauvignon"
779425,2,"Cabernet Sauvignon"
779452,1,"Shiraz/Syrah"
779475,2,"Cabernet Sauvignon"
981448,1,"Shiraz/Syrah"
1098981,3,"Cabernet Franc"
1099296,2,"Cabernet Sauvignon"
1099372,2,"Cabernet Sauvignon"
1099398,2,"Cabernet Sauvignon"
1099450,2,"Cabernet Sauvignon"
1099535,3,"Cabernet Franc"
1100250,10,"Merlot"
1100733,12,"Nebbiolo"
1100748,14,"Pinot Noir"
1100988,2,"Cabernet Sauvignon"
1101093,2,"Cabernet Sauvignon"
1101213,2,"Cabernet Sauvignon"
1101461,2,"Cabernet Sauvignon"
1101472,142,"Garnacha"
1101590,1,"Shiraz/Syrah"
1102121,2,"Cabernet Sauvignon"
1105859,1,"Shiraz/Syrah"
1107322,2,"Cabernet Sauvignon"
1107336,2,"Cabernet Sauvignon"
1107375,14,"Pinot Noir"
1107919,2,"Cabernet Sauvignon"
1108705,16,"Sangiovese"
1108737,2,"Cabernet Sauvignon"
1115658,2,"Cabernet Sauvignon"
1117458,17,"Sauvignon Blanc"
1119906,14,"Pinot Noir"
1124237,23,"Roussanne"
1124242,1,"Shiraz/Syrah"
1124243,1,"Shiraz/Syrah"
1124245,1,"Shiraz/Syrah"
1125543,2,"Cabernet Sauvignon"
1126125,19,"Tempranillo"
1126219,17,"Sauvignon Blanc"
1126243,17,"Sauvignon Blanc"
1126324,1,"Shiraz/Syrah"
1126516,43,"Corvina"
1126523,1,"Shiraz/Syrah"
1126808,2,"Cabernet Sauvignon"
1126809,2,"Cabernet Sauvignon"
1126888,1,"Shiraz/Syrah"
1126923,14,"Pinot Noir"
1126941,17,"Sauvignon Blanc"
1126954,2,"Cabernet Sauvignon"
1126958,17,"Sauvignon Blanc"
1126964,167,"Tinta de toro"
1127479,2,"Cabernet Sauvignon"
1127494,3,"Cabernet Franc"
1127496,2,"Cabernet Sauvignon"
1127516,2,"Cabernet Sauvignon"
1127917,17,"Sauvignon Blanc"
1127929,2,"Cabernet Sauvignon"
1129282,19,"Tempranillo"
1129305,2,"Cabernet Sauvignon"
1129620,2,"Cabernet Sauvignon"
1132696,19,"Tempranillo"
1133162,5,"Chardonnay"
1133661,16,"Sangiovese"
1133793,2,"Cabernet Sauvignon"
1134068,2,"Cabernet Sauvignon"
1134111,58,"Montepulciano"
1134803,1,"Shiraz/Syrah"
1134851,21,"Zinfandel"
1135013,5,"Chardonnay"
1135140,5,"Chardonnay"
1135271,19,"Tempranillo"
1135406,1,"Shiraz/Syrah"
1135616,1,"Shiraz/Syrah"
1135641,2,"Cabernet Sauvignon"
1135642,2,"Cabernet Sauvignon"
1135736,1,"Shiraz/Syrah"
1135818,43,"Corvina"
1135843,2,"Cabernet Sauvignon"
1135916,19,"Tempranillo"
1135980,9,"Malbec"
1135982,19,"Tempranillo"
1136028,2,"Cabernet Sauvignon"
1136029,43,"Corvina"
1136142,1,"Shiraz/Syrah"
1136158,3,"Cabernet Franc"
